Network,ldz,Depot,Work Order,Root Work Order,Emergency Date,Gas Prevented,Time Difference,Address,MTD,Less 12,Great 12,Count
EG,NE,NEWCASTLE,W1045000,W1044997,2026-05-26 07:08:00,2026-05-26 19:14:04,12.1,174 CASTLE STREET NEWCASTLE NE9 5EE,0,0,1,1
EG,SO,SOUTHAMPTON,W1045001,W1045000,2026-05-26 06:14:00,2026-05-26 15:47:32,9.56,7 NEW STREET SOUTHAMPTON SO9 4EQ,1,1,0,1
EG,SC,STIRLING,W1045002,W1044997,2026-05-27 00:48:00,2026-05-27 13:39:50,12.86,179 PARK AVENUE STIRLING SC5 1LA,0,0,1,1
EG,SC,INVERNESS,W1045003,W1045002,2026-05-26 12:06:00,2026-05-26 20:02:55,7.95,89 MARKET SQUARE INVERNESS SC1 5JZ,1,1,0,1
EG,NE,GATESHEAD,W1045004,W1045003,2026-05-27 20:39:00,2026-05-28 10:23:23,13.74,93 MARKET SQUARE GATESHEAD NE2 4EQ,0,0,1,1
EG,SC,ABERDEEN,W1045005,W1045004,2026-05-26 03:24:00,2026-05-26 10:27:27,7.06,163 STATION ROAD ABERDEEN SC6 3JE,1,1,0,1
EG,SC,ABERDEEN,W1045006,W1045005,2026-05-26 17:46:00,2026-05-27 00:27:34,6.69,119 PARK AVENUE ABERDEEN SC9 5JZ,0,1,0,1
EG,WM,BIRMINGHAM,W1045007,W1045005,2026-05-26 10:25:00,2026-05-26 17:21:42,6.95,55 MARKET SQUARE BIRMINGHAM WM6 5EE,0,1,0,1
EG,NT,LINCOLN,W1045008,W1045004,2026-05-26 08:08:00,2026-05-26 14:50:46,6.71,144 NEW STREET LINCOLN NT7 5JZ,1,1,0,1
EG,WM,COVENTRY,W1045009,W1045007,2026-05-27 02:48:00,2026-05-27 07:19:05,4.52,29 KING STREET COVENTRY WM3 1GF,1,1,0,1
EG,NE,GATESHEAD,W1045010,W1045006,2026-05-27 16:16:00,2026-05-28 06:56:54,14.68,3 BROAD STREET GATESHEAD NE2 2DU,1,0,1,1
EG,WM,BIRMINGHAM,W1045011,W1045008,2026-05-27 05:29:00,2026-05-27 09:31:08,4.04,185 CASTLE STREET BIRMINGHAM WM9 5JZ,0,1,0,1
EG,NE,MIDDLESBROUGH,W1045012,W1045007,2026-05-26 04:23:00,2026-05-26 16:46:15,12.39,139 NEW STREET MIDDLESBROUGH NE1 5EE,1,0,1,1
EG,NT,NOTTINGHAM,W1045013,W1045012,2026-05-27 09:15:00,2026-05-27 13:53:13,4.64,146 MILL ROAD NOTTINGHAM NT8 2LT,0,1,0,1
EG,NW,LIVERPOOL,W1045014,W1045010,2026-05-26 08:33:00,2026-05-26 22:08:48,13.6,109 CHURCH LANE LIVERPOOL NW9 5EE,0,0,1,1
EG,SE,GUILDFORD,W1045015,W1045012,2026-05-27 16:28:00,2026-05-27 21:47:51,5.33,58 MILL ROAD GUILDFORD SE1 1LA,0,1,0,1
EG,SC,GLASGOW,W1045016,W1045015,2026-05-26 07:04:00,2026-05-26 21:01:34,13.96,85 MILL ROAD GLASGOW SC4 4AH,1,0,1,1
EG,NT,DERBY,W1045017,W1045012,2026-05-26 23:59:00,2026-05-27 13:41:22,13.71,148 VICTORIA ROAD DERBY NT8 4EQ,1,0,1,1
EG,SC,PAISLEY,W1045018,W1045017,2026-05-27 11:27:00,2026-05-27 19:58:19,8.52,187 HIGH STREET PAISLEY SC2 1GF,0,1,0,1
EG,SO,BOURNEMOUTH,W1045019,W1045018,2026-05-26 06:12:00,2026-05-26 16:05:56,9.9,36 PARK AVENUE BOURNEMOUTH SO5 3JE,1,1,0,1
EG,SC,PAISLEY,W1045020,W1045016,2026-05-26 01:41:00,2026-05-26 16:40:31,14.99,4 MILL ROAD PAISLEY SC4 5EE,0,0,1,1
EG,SO,SALISBURY,W1045021,W1045017,2026-05-26 12:57:00,2026-05-26 17:35:41,4.64,98 HIGH STREET SALISBURY SO5 2EE,1,1,0,1
