id,date_disp_1,date_oracle
1,01/04/2026,2026-04-01
2,02/04/2026,2026-04-02
3,03/04/2026,2026-04-03
4,04/04/2026,2026-04-04
5,05/04/2026,2026-04-05
6,06/04/2026,2026-04-06
7,07/04/2026,2026-04-07
8,08/04/2026,2026-04-08
9,09/04/2026,2026-04-09
10,10/04/2026,2026-04-10
11,11/04/2026,2026-04-11
12,12/04/2026,2026-04-12
13,13/04/2026,2026-04-13
14,14/04/2026,2026-04-14
15,15/04/2026,2026-04-15
16,16/04/2026,2026-04-16
17,17/04/2026,2026-04-17
18,18/04/2026,2026-04-18
19,19/04/2026,2026-04-19
20,20/04/2026,2026-04-20
21,21/04/2026,2026-04-21
22,22/04/2026,2026-04-22
23,23/04/2026,2026-04-23
24,24/04/2026,2026-04-24
25,25/04/2026,2026-04-25
26,26/04/2026,2026-04-26
27,27/04/2026,2026-04-27
28,28/04/2026,2026-04-28
29,29/04/2026,2026-04-29
30,30/04/2026,2026-04-30
31,01/05/2026,2026-05-01
32,02/05/2026,2026-05-02
33,03/05/2026,2026-05-03
34,04/05/2026,2026-05-04
35,05/05/2026,2026-05-05
36,06/05/2026,2026-05-06
37,07/05/2026,2026-05-07
38,08/05/2026,2026-05-08
39,09/05/2026,2026-05-09
40,10/05/2026,2026-05-10
41,11/05/2026,2026-05-11
42,12/05/2026,2026-05-12
43,13/05/2026,2026-05-13
