id,network,ldz,depot_work_group
1,Network_A,LDZ_01,DEPOT_A
2,Network_B,LDZ_04,DEPOT_B
3,Network_C,LDZ_05,DEPOT_C
4,Network_A,LDZ_02,DEPOT_D
5,Network_B,LDZ_03,DEPOT_E
6,Network_C,LDZ_05,DEPOT_F
7,Network_A,LDZ_01,DEPOT_G
8,Network_B,LDZ_04,DEPOT_H
9,Network_C,LDZ_05,DEPOT_I
10,Network_A,LDZ_02,DEPOT_J
11,Network_B,LDZ_03,DEPOT_K
12,Network_C,LDZ_05,DEPOT_L
13,Network_A,LDZ_01,DEPOT_M
14,Network_B,LDZ_04,DEPOT_N
15,Network_C,LDZ_05,DEPOT_O
16,Network_A,LDZ_02,DEPOT_P
17,Network_B,LDZ_03,DEPOT_Q
18,Network_C,LDZ_05,DEPOT_R
19,Network_A,LDZ_01,DEPOT_S
20,Network_B,LDZ_04,DEPOT_T
