id,dwor_id_root,dwor_id_gas_prevented,dorg_id_root,dadr_id_root,dcal_id_gas_prevented_date,dtim_id_gas_prevented_time,latest
1,1,1001,15,35,14,14,Y
2,2,1002,4,48,42,8,Y
3,3,1003,10,3,29,9,Y
4,4,1004,12,6,29,4,Y
5,5,1005,8,14,38,23,Y
6,6,1006,12,46,40,21,Y
7,7,1007,14,11,40,5,Y
8,8,1008,7,14,4,19,Y
9,9,1009,12,35,18,20,Y
10,10,1010,18,11,21,23,Y
11,11,1011,10,19,37,9,Y
12,12,1012,17,44,7,5,Y
13,13,1013,14,4,18,21,Y
14,14,1014,5,45,9,8,Y
15,15,1015,5,46,21,8,Y
16,16,1016,13,32,10,19,Y
17,17,1017,9,41,27,13,Y
18,18,1018,15,5,41,3,Y
19,19,1019,13,33,18,23,Y
20,20,1020,12,30,32,11,Y
21,21,1021,19,1,6,24,Y
22,22,1022,15,41,43,23,Y
23,23,1023,12,5,35,13,Y
24,24,1024,7,28,14,16,Y
25,25,1025,9,21,19,11,Y
26,26,1026,18,37,9,19,Y
27,27,1027,16,22,4,2,Y
28,28,1028,4,41,30,1,Y
29,29,1029,4,11,29,15,Y
30,30,1030,1,28,13,23,Y
31,31,1031,5,42,20,6,Y
32,32,1032,9,6,42,12,Y
33,33,1033,9,6,24,22,Y
34,34,1034,6,4,26,21,Y
35,35,1035,10,47,15,14,Y
36,36,1036,3,46,7,1,Y
37,37,1037,7,31,5,5,Y
38,38,1038,19,15,34,22,Y
39,39,1039,15,1,1,23,Y
40,40,1040,11,8,28,23,Y
41,41,1041,5,31,5,8,Y
42,42,1042,13,6,7,4,Y
43,43,1043,11,24,20,5,Y
44,44,1044,13,50,9,21,Y
45,45,1045,5,5,34,19,Y
46,46,1046,1,40,42,6,Y
47,47,1047,15,23,14,21,Y
48,48,1048,5,27,40,22,Y
49,49,1049,15,14,6,4,Y
50,50,1050,5,49,8,19,Y
51,51,1051,13,23,28,11,Y
52,52,1052,5,16,18,21,Y
53,53,1053,3,16,36,20,Y
54,54,1054,20,47,39,10,Y
55,55,1055,1,43,20,7,Y
56,56,1056,17,39,33,7,Y
57,57,1057,13,19,42,2,Y
58,58,1058,8,32,25,4,Y
59,59,1059,8,32,41,20,Y
60,60,1060,3,34,1,12,Y
61,61,1061,11,9,25,19,Y
62,62,1062,14,24,35,22,Y
63,63,1063,6,49,31,3,Y
64,64,1064,1,38,5,1,Y
65,65,1065,9,14,3,2,Y
66,66,1066,13,33,19,21,Y
